epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.8378,0.72075,0.46695,1,0.74219,8.335e-05,8.335e-05,8.335e-05
2,80.813,0.68855,0.53736,1,0.69922,0.000178883,0.000178883,0.000178883
3,99.5137,0.65949,0.68247,1,0.61865,0.000256331,0.000256331,0.000256331
4,101.206,0.62785,0.71983,1,0.56348,0.000304394,0.000304394,0.000304394
5,121.505,0.6003,0.71552,1,0.54346,0.000316426,0.000316426,0.000316426
6,139.669,0.57593,0.7773,1,0.49023,0.000291754,0.000291754,0.000291754
7,155.852,0.54238,0.78879,1,0.45947,0.000236178,0.000236178,0.000236178
8,158.663,0.51327,0.79885,1,0.44019,0.000161545,0.000161545,0.000161545
9,177.628,0.50691,0.79885,1,0.43481,8.44476e-05,8.44476e-05,8.44476e-05
10,193.697,0.48337,0.79167,1,0.43091,2.41646e-05,2.41646e-05,2.41646e-05
