epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.3972,0.82718,0.48276,1,0.75342,8.335e-05,8.335e-05,8.335e-05
2,71.8666,0.78523,0.51149,1,0.70703,0.000182241,0.000182241,0.000182241
3,91.3226,0.76085,0.59914,1,0.66504,0.000276456,0.000276456,0.000276456
4,92.9902,0.74244,0.67529,1,0.60986,0.000362517,0.000362517,0.000362517
5,111.798,0.70878,0.6796,1,0.60107,0.000437271,0.000437271,0.000437271
6,130.67,0.69188,0.67385,1,0.58594,0.000498014,0.000498014,0.000498014
7,146.427,0.64204,0.75862,1,0.52246,0.000542616,0.000542616,0.000542616
8,148.105,0.61491,0.78017,1,0.46558,0.000569615,0.000569615,0.000569615
9,167.226,0.58132,0.79167,1,0.42334,0.000578295,0.000578295,0.000578295
10,184.198,0.55298,0.79741,1,0.40601,0.000568735,0.000568735,0.000568735
11,217.753,0.51954,0.81897,1,0.38794,0.000541829,0.000541829,0.000541829
12,236.535,0.50727,0.83046,1,0.34058,0.000499278,0.000499278,0.000499278
13,255.144,0.46244,0.83764,1,0.32227,0.000443553,0.000443553,0.000443553
14,256.849,0.44937,0.82759,1,0.33691,0.000377833,0.000377833,0.000377833
15,276.941,0.40779,0.8477,1,0.28638,0.000305905,0.000305905,0.000305905
16,295.327,0.39047,0.90805,1,0.21399,0.000232055,0.000232055,0.000232055
17,312.118,0.35865,0.91667,1,0.19714,0.000159335,0.000159335,0.000159335
18,313.963,0.35404,0.91667,1,0.19348,9.10037e-05,9.10037e-05,9.10037e-05
19,333.008,0.34993,0.9181,1,0.19214,4.0957e-05,4.0957e-05,4.0957e-05
20,350.026,0.35061,0.92241,1,0.18848,1.04274e-05,1.04274e-05,1.04274e-05
