epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.9646,0.71736,0.46408,1,0.74316,8.335e-05,8.335e-05,8.335e-05
2,69.5215,0.68355,0.52443,1,0.70215,0.000171209,0.000171209,0.000171209
3,89.8167,0.65824,0.66954,1,0.62744,0.000213251,0.000213251,0.000213251
4,91.5001,0.62958,0.70977,1,0.58984,0.000193622,0.000193622,0.000193622
5,111.881,0.61857,0.70115,1,0.58496,0.000124483,0.000124483,0.000124483
6,130.272,0.61146,0.68822,1,0.58789,4.45274e-05,4.45274e-05,4.45274e-05
